"","formulary_id","formulary_version","contract_year","ndc","tier_level_value","quantity_limit_yn","quantity_limit_amount","quantity_limit_days","prior_authorization_yn","step_therapy_yn","labelname","drugname","_merge"
"56",8538,12,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"57",8173,7,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"58",8544,17,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"59",8092,12,2008,2060440,4,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"60",8357,8,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"61",8541,13,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"62",8114,11,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"63",8580,7,2008,2060440,4,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"64",8499,8,2008,2060440,1,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"65",8493,6,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"66",8307,8,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"67",8549,14,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"68",8159,5,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"69",8546,7,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"70",8564,5,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"71",8116,7,2008,2060440,4,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"72",8086,16,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"73",8128,6,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"74",8153,6,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"75",8578,7,2008,2060440,4,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"76",8263,7,2008,2060440,3,"N","","","Y","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"77",8270,8,2008,2060440,3,"N","","","Y","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"78",8040,11,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"79",8289,19,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"80",8025,8,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"81",8309,18,2008,2060440,5,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"82",8122,6,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"83",8528,16,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"84",8170,7,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"85",8562,8,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"86",8187,7,2008,2060440,2,"N","","","Y","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"87",8144,8,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"88",8012,18,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"89",8190,5,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"90",8308,10,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"91",8137,8,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"92",8130,6,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"93",8432,12,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"94",8111,6,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"95",8278,8,2008,2060440,3,"N","","","Y","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"96",8032,7,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"97",8183,10,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"98",8150,9,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"99",8582,11,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"100",8315,7,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"101",8421,6,2008,2060440,4,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"102",8519,8,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"103",8115,9,2008,2060440,4,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"104",8486,6,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"105",8053,14,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"106",8265,8,2008,2060440,3,"N","","","Y","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"107",8182,5,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"108",8570,21,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"109",8222,7,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"110",8470,9,2008,2060440,5,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"111",8484,11,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"112",8048,16,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"113",8566,6,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"114",8481,11,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"115",8388,12,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"116",8090,8,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"117",8060,9,2008,2060440,3,"N","","","Y","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"118",8352,8,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"119",8155,12,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"120",8195,8,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"121",8428,10,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"122",8174,6,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"123",8164,8,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"124",8168,6,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"125",8260,7,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"126",8438,6,2008,2060440,4,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"127",8330,5,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"128",8337,9,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"129",8359,5,2008,2060440,1,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"130",8485,9,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"131",8152,12,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"132",8167,9,2008,2060440,1,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"133",8123,7,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"134",8024,17,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"135",8184,5,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"136",8439,6,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"137",8353,16,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"138",8050,7,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"139",8218,6,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"140",8581,7,2008,2060440,5,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"141",8363,7,2008,2060440,3,"N","","","Y","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"142",8145,5,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"143",8129,7,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"144",8052,14,2008,2060440,1,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"145",8178,9,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"146",8043,20,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"147",8080,18,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"148",8275,12,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"149",8160,8,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"150",8472,10,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"151",8444,5,2008,2060440,3,"N","","","Y","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
